id,tab_file_name,attempt_no,aircraft_type,is_subset,subset_row_count,status,row_count_tab,row_count_clickhouse,column_count,had_trailing_tab_issue,tab_zst_object_key,tab_zst_size_bytes,original_size_bytes,compression_algorithm,compression_level,compress_duration_seconds,minio_upload_duration_seconds,clickhouse_load_duration_seconds,clickhouse_table_name,clickhouse_disk_bytes,clickhouse_loaded_at,error_detail,started_at,finished_at
12,synthetic_50k_100000.tab,5,AIRCRAFT_50K,,,error,,,,,,,,,,,,,,,,"ServerException: Code: 241.
DB::Exception: (total) memory limit exceeded: would use 9.32 GiB (attempt to allocate chunk of 4.01 MiB), current RSS: 8.68 GiB, maximum: 9.32 GiB. OvercommitTracker decision: Query was selected to stop by OvercommitTracker. Untracked memory across all threads: -7.66 MiB: (in file/uri telemetry/grid/synthetic_50k_100000_partA.tab.zst): While executing TabSeparatedRowInputFormat: While executing ReadFromObjectStorage. Stack trace:

0. DB::Exception::Exception(DB::Exception::MessageMasked&&, int, bool) @ 0x00000000165f672a
1. DB::Exception::Exception(String&&, int, String, bool) @ 0x0000000010226112
2. DB::Exception::Exception(PreformattedMessage&&, int) @ 0x0000000010225986
3. DB::Exception::Exception<char const*, char const*, String, String, String, String, String, String, String>(int, FormatStringHelperImpl<std::type_identity<char const*>::type, std::type_identity<char const*>::type, std::type_identity<String>::type, std::type_identity<String>::type, std::type_identity<String>::type, std::type_identity<String>::type, std::type_identity<String>::type, std::type_identity<String>::type, std::type_identity<String>::type>, char const*&&, char const*&&, String&&, String&&, String&&, String&&, String&&, String&&, String&&) @ 0x000000001668d403
4. MemoryTracker::allocImpl(long, bool, MemoryTracker*, double) @ 0x0000000016689fb2
5. MemoryTracker::allocImpl(long, bool, MemoryTracker*, double) @ 0x000000001668949f
6. MemoryTracker::allocImpl(long, bool, MemoryTracker*, double) @ 0x000000001668949f
7. MemoryTracker::allocImpl(long, bool, MemoryTracker*, double) @ 0x000000001668949f
8. CurrentMemoryTracker::allocImpl(long, bool) @ 0x00000000165bec05
9. Allocator<false, false>::realloc(void*, unsigned long, unsigned long, unsigned long) @ 0x00000000165b9797
10. void DB::PODArrayBase<1ul, 4096ul, Allocator<false, false>, 63ul, 64ul>::reserveForNextSize<>() @ 0x0000000010285285
11. DB::SerializationNumber<char8_t>::deserializeText(DB::IColumn&, DB::ReadBuffer&, DB::FormatSettings const&, bool) const @ 0x000000000dae3fc1
12. DB::TabSeparatedFormatReader::readField(DB::IColumn&, std::shared_ptr<DB::IDataType const> const&, std::shared_ptr<DB::ISerialization const> const&, bool, String const&) @ 0x000000001d7dc3da
13. DB::RowInputFormatWithNamesAndTypes<DB::TabSeparatedFormatReader>::readRow(std::vector<COW<DB::IColumn>::mutable_ptr<DB::IColumn>, std::allocator<COW<DB::IColumn>::mutable_ptr<DB::IColumn>>>&, DB::RowReadExtension&) @ 0x000000001d600a42
14. DB::IRowInputFormat::read() @ 0x000000001d5cd03b
15. DB::IInputFormat::generate() @ 0x000000001d541c56
16. DB::ISource::tryGenerate() @ 0x000000001d50a029
17. DB::ISource::work() @ 0x000000001d509b81
18. DB::ExecutionThreadContext::executeTask() @ 0x000000001d5317ec
19. DB::PipelineExecutor::executeStepImpl(unsigned long, DB::WorkloadResources&&, std::atomic<bool>*) @ 0x000000001d5218da
20. DB::PipelineExecutor::executeStep(std::atomic<bool>*) @ 0x000000001d520533
21. DB::PullingPipelineExecutor::pull(DB::Chunk&) @ 0x000000001d53c51b
22. DB::StorageObjectStorageSource::generate() @ 0x0000000019733d4f
23. DB::ISource::tryGenerate() @ 0x000000001d50a029
24. DB::ISource::work() @ 0x000000001d509b81
25. DB::ExecutionThreadContext::executeTask() @ 0x000000001d5317ec
26. DB::PipelineExecutor::executeStepImpl(unsigned long, DB::WorkloadResources&&, std::atomic<bool>*) @ 0x000000001d5218da
27. void std::__function::__policy_func<void ()>::__call_func[abi:fqe220101]<DB::PipelineExecutor::spawnThreads(std::shared_ptr<DB::IAcquiredSlot>)::$_0>(std::__function::__policy_storage const*) @ 0x000000001d52549a
28. ThreadPoolImpl<ThreadFromGlobalPoolImpl<false, true>>::ThreadFromThreadPool::worker() @ 0x000000001681e583
29. void std::__function::__policy_func<void ()>::__call_func[abi:fqe220101]<startThreadFromGlobalPool(std::shared_ptr<ThreadFromGlobalPoolState>, std::function<void ()>, unsigned long, unsigned long, bool, bool)::$_0>(std::__function::__policy_storage const*) @ 0x000",2026-08-25 05:54:55.780742+00,2026-08-25 06:05:51.97497+00
13,synthetic_50k_100000.tab,6,AIRCRAFT_50K,,,error,,,,,,,,,,,,,,,,"ServerException: Code: 241.
DB::Exception: (total) memory limit exceeded: would use 9.52 GiB (attempt to allocate chunk of 4.06 MiB), current RSS: 8.77 GiB, maximum: 9.51 GiB. OvercommitTracker decision: Query was selected to stop by OvercommitTracker. Untracked memory across all threads: -3.00 MiB: (in file/uri telemetry/grid/synthetic_50k_100000_partA.tab.zst): While executing TabSeparatedRowInputFormat: While executing ReadFromObjectStorage. Stack trace:

0. DB::Exception::Exception(DB::Exception::MessageMasked&&, int, bool) @ 0x00000000165f672a
1. DB::Exception::Exception(String&&, int, String, bool) @ 0x0000000010226112
2. DB::Exception::Exception(PreformattedMessage&&, int) @ 0x0000000010225986
3. DB::Exception::Exception<char const*, char const*, String, String, String, String, String, String, String>(int, FormatStringHelperImpl<std::type_identity<char const*>::type, std::type_identity<char const*>::type, std::type_identity<String>::type, std::type_identity<String>::type, std::type_identity<String>::type, std::type_identity<String>::type, std::type_identity<String>::type, std::type_identity<String>::type, std::type_identity<String>::type>, char const*&&, char const*&&, String&&, String&&, String&&, String&&, String&&, String&&, String&&) @ 0x000000001668d403
4. MemoryTracker::allocImpl(long, bool, MemoryTracker*, double) @ 0x0000000016689fb2
5. MemoryTracker::allocImpl(long, bool, MemoryTracker*, double) @ 0x000000001668949f
6. MemoryTracker::allocImpl(long, bool, MemoryTracker*, double) @ 0x000000001668949f
7. MemoryTracker::allocImpl(long, bool, MemoryTracker*, double) @ 0x000000001668949f
8. CurrentMemoryTracker::allocImpl(long, bool) @ 0x00000000165bec05
9. Allocator<false, false>::realloc(void*, unsigned long, unsigned long, unsigned long) @ 0x00000000165b9797
10. void DB::PODArrayBase<8ul, 4096ul, Allocator<false, false>, 63ul, 64ul>::reserveForNextSize<>() @ 0x00000000102356c5
11. DB::SerializationNumber<double>::deserializeText(DB::IColumn&, DB::ReadBuffer&, DB::FormatSettings const&, bool) const @ 0x000000000daf1fdc
12. DB::TabSeparatedFormatReader::readField(DB::IColumn&, std::shared_ptr<DB::IDataType const> const&, std::shared_ptr<DB::ISerialization const> const&, bool, String const&) @ 0x000000001d7dc3da
13. DB::RowInputFormatWithNamesAndTypes<DB::TabSeparatedFormatReader>::readRow(std::vector<COW<DB::IColumn>::mutable_ptr<DB::IColumn>, std::allocator<COW<DB::IColumn>::mutable_ptr<DB::IColumn>>>&, DB::RowReadExtension&) @ 0x000000001d600a42
14. DB::IRowInputFormat::read() @ 0x000000001d5cd03b
15. DB::IInputFormat::generate() @ 0x000000001d541c56
16. DB::ISource::tryGenerate() @ 0x000000001d50a029
17. DB::ISource::work() @ 0x000000001d509b81
18. DB::ExecutionThreadContext::executeTask() @ 0x000000001d5317ec
19. DB::PipelineExecutor::executeStepImpl(unsigned long, DB::WorkloadResources&&, std::atomic<bool>*) @ 0x000000001d5218da
20. DB::PipelineExecutor::executeStep(std::atomic<bool>*) @ 0x000000001d520533
21. DB::PullingPipelineExecutor::pull(DB::Chunk&) @ 0x000000001d53c51b
22. DB::StorageObjectStorageSource::generate() @ 0x0000000019733d4f
23. DB::ISource::tryGenerate() @ 0x000000001d50a029
24. DB::ISource::work() @ 0x000000001d509b81
25. DB::ExecutionThreadContext::executeTask() @ 0x000000001d5317ec
26. DB::PipelineExecutor::executeStepImpl(unsigned long, DB::WorkloadResources&&, std::atomic<bool>*) @ 0x000000001d5218da
27. void std::__function::__policy_func<void ()>::__call_func[abi:fqe220101]<DB::PipelineExecutor::spawnThreads(std::shared_ptr<DB::IAcquiredSlot>)::$_0>(std::__function::__policy_storage const*) @ 0x000000001d52549a
28. ThreadPoolImpl<ThreadFromGlobalPoolImpl<false, true>>::ThreadFromThreadPool::worker() @ 0x000000001681e583
29. void std::__function::__policy_func<void ()>::__call_func[abi:fqe220101]<startThreadFromGlobalPool(std::shared_ptr<ThreadFromGlobalPoolState>, std::function<void ()>, unsigned long, unsigned long, bool, bool)::$_0>(std::__function::__policy_storage const*) @ 0x0000",2026-08-25 06:09:24.642143+00,2026-08-25 06:11:53.120179+00
14,synthetic_50k_100000.tab,7,AIRCRAFT_50K,,,error,,,,,,,,,,,,,,,,"ServerException: Code: 241.
DB::Exception: (total) memory limit exceeded: would use 9.37 GiB (attempt to allocate chunk of 4.01 MiB), current RSS: 8.94 GiB, maximum: 9.37 GiB. OvercommitTracker decision: Query was selected to stop by OvercommitTracker. Untracked memory across all threads: -4.75 MiB: (in file/uri telemetry/grid/synthetic_50k_100000_q1.tab.zst): While executing TabSeparatedRowInputFormat: While executing ReadFromObjectStorage. Stack trace:

0. DB::Exception::Exception(DB::Exception::MessageMasked&&, int, bool) @ 0x00000000165f672a
1. DB::Exception::Exception(String&&, int, String, bool) @ 0x0000000010226112
2. DB::Exception::Exception(PreformattedMessage&&, int) @ 0x0000000010225986
3. DB::Exception::Exception<char const*, char const*, String, String, String, String, String, String, String>(int, FormatStringHelperImpl<std::type_identity<char const*>::type, std::type_identity<char const*>::type, std::type_identity<String>::type, std::type_identity<String>::type, std::type_identity<String>::type, std::type_identity<String>::type, std::type_identity<String>::type, std::type_identity<String>::type, std::type_identity<String>::type>, char const*&&, char const*&&, String&&, String&&, String&&, String&&, String&&, String&&, String&&) @ 0x000000001668d403
4. MemoryTracker::allocImpl(long, bool, MemoryTracker*, double) @ 0x0000000016689fb2
5. MemoryTracker::allocImpl(long, bool, MemoryTracker*, double) @ 0x000000001668949f
6. MemoryTracker::allocImpl(long, bool, MemoryTracker*, double) @ 0x000000001668949f
7. MemoryTracker::allocImpl(long, bool, MemoryTracker*, double) @ 0x000000001668949f
8. CurrentMemoryTracker::allocImpl(long, bool) @ 0x00000000165bec05
9. Allocator<false, false>::realloc(void*, unsigned long, unsigned long, unsigned long) @ 0x00000000165b9797
10. void DB::PODArrayBase<1ul, 4096ul, Allocator<false, false>, 63ul, 64ul>::reserveForNextSize<>() @ 0x0000000010285285
11. DB::SerializationNumber<char8_t>::deserializeText(DB::IColumn&, DB::ReadBuffer&, DB::FormatSettings const&, bool) const @ 0x000000000dae3fc1
12. DB::TabSeparatedFormatReader::readField(DB::IColumn&, std::shared_ptr<DB::IDataType const> const&, std::shared_ptr<DB::ISerialization const> const&, bool, String const&) @ 0x000000001d7dc3da
13. DB::RowInputFormatWithNamesAndTypes<DB::TabSeparatedFormatReader>::readRow(std::vector<COW<DB::IColumn>::mutable_ptr<DB::IColumn>, std::allocator<COW<DB::IColumn>::mutable_ptr<DB::IColumn>>>&, DB::RowReadExtension&) @ 0x000000001d600a42
14. DB::IRowInputFormat::read() @ 0x000000001d5cd03b
15. DB::IInputFormat::generate() @ 0x000000001d541c56
16. DB::ISource::tryGenerate() @ 0x000000001d50a029
17. DB::ISource::work() @ 0x000000001d509b81
18. DB::ExecutionThreadContext::executeTask() @ 0x000000001d5317ec
19. DB::PipelineExecutor::executeStepImpl(unsigned long, DB::WorkloadResources&&, std::atomic<bool>*) @ 0x000000001d5218da
20. DB::PipelineExecutor::executeStep(std::atomic<bool>*) @ 0x000000001d520533
21. DB::PullingPipelineExecutor::pull(DB::Chunk&) @ 0x000000001d53c51b
22. DB::StorageObjectStorageSource::generate() @ 0x0000000019733d4f
23. DB::ISource::tryGenerate() @ 0x000000001d50a029
24. DB::ISource::work() @ 0x000000001d509b81
25. DB::ExecutionThreadContext::executeTask() @ 0x000000001d5317ec
26. DB::PipelineExecutor::executeStepImpl(unsigned long, DB::WorkloadResources&&, std::atomic<bool>*) @ 0x000000001d5218da
27. void std::__function::__policy_func<void ()>::__call_func[abi:fqe220101]<DB::PipelineExecutor::spawnThreads(std::shared_ptr<DB::IAcquiredSlot>)::$_0>(std::__function::__policy_storage const*) @ 0x000000001d52549a
28. ThreadPoolImpl<ThreadFromGlobalPoolImpl<false, true>>::ThreadFromThreadPool::worker() @ 0x000000001681e583
29. void std::__function::__policy_func<void ()>::__call_func[abi:fqe220101]<startThreadFromGlobalPool(std::shared_ptr<ThreadFromGlobalPoolState>, std::function<void ()>, unsigned long, unsigned long, bool, bool)::$_0>(std::__function::__policy_storage const*) @ 0x000000",2026-08-25 06:20:56.34018+00,2026-08-25 06:29:15.406424+00
15,synthetic_10k_1000.tab,6,AIRCRAFT_10K,,,processing,,,,,,,,,,,,,,,,,2026-08-25 06:45:16.63081+00,
16,synthetic_20k_1000.tab,4,AIRCRAFT_20K,,,processing,,,,,,,,,,,,,,,,,2026-08-25 06:45:16.648612+00,
17,synthetic_50k_100000.tab,8,AIRCRAFT_50K,,,processing,,,,,,,,,,,,,,,,,2026-08-25 06:45:16.652519+00,
18,synthetic_10k_1000.tab,7,AIRCRAFT_10K,f,,done,1000,1000,10002,f,grid/synthetic_10k_1000.tab.zst,7426052,28701380,zstd,12,1.7482588291168213,0.050642967224121094,1.282707929611206,synthetic_10k_1000,9055662,2026-08-25 06:49:31.515183+00,,2026-08-25 06:49:27.928814+00,2026-08-25 06:49:31.515183+00
19,synthetic_20k_1000.tab,5,AIRCRAFT_20K,f,,done,1000,1000,20002,f,grid/synthetic_20k_1000.tab.zst,14789591,57387210,zstd,12,3.5484328269958496,0.06930756568908691,3.840210199356079,synthetic_20k_1000,20659075,2026-08-25 06:49:53.240302+00,,2026-08-25 06:49:45.166308+00,2026-08-25 06:49:53.240302+00
20,synthetic_10k_1000.tab,8,AIRCRAFT_10K,f,,done,1000,1000,10002,f,grid/synthetic_10k_1000.tab.zst,7426052,28701380,zstd,12,1.6941311359405518,0.05475187301635742,1.1256628036499023,synthetic_10k_1000,9055662,2026-08-25 08:20:50.005597+00,,2026-08-25 08:20:46.804087+00,2026-08-25 08:20:50.005597+00
21,synthetic_50k_100000.tab,9,AIRCRAFT_50K,f,,done,100000,100000,50002,f,grid/synthetic_50k_100000_p1.tab.zst + grid/synthetic_50k_100000_p2.tab.zst + grid/synthetic_50k_100000_p3.tab.zst + grid/synthetic_50k_100000_p4.tab.zst + grid/synthetic_50k_100000_p5.tab.zst + grid/synthetic_50k_100000_p6.tab.zst,3566904949,14315669424,zstd,12,936.7990727424622,41.21504735946655,650.9064362049103,synthetic_50k_100000_p1 + synthetic_50k_100000_p2 + synthetic_50k_100000_p3 + synthetic_50k_100000_p4 + synthetic_50k_100000_p5 + synthetic_50k_100000_p6,6452317300,2026-08-25 08:50:58.790784+00,,2026-08-25 08:21:13.284421+00,2026-08-25 08:50:58.790784+00
